"fecha","TOTAL NACIONAL-Producción de Petróleo Crudo","TOTAL NACIONAL-PRODUCCIÓN DE PETRÓLEO CRUDO FISCALIZADA (Miles de barriles)","TOTAL NACIONAL-EXPORTACIONES DE PETRÓLEO CRUDO (Miles de barriles)","TOTAL NACIONAL-CRUDO RECIBIDO EN REFINERÍAS Y CONSUMO EN OLEODUCTO (Miles de barriles)","TOTAL NACIONAL-MATERIA PRIMA PROCESADA EN REFINERÍAS (Miles de barriles)","TOTAL NACIONAL-TRANSPORTE POR OLEODUCTOS (Miles de barriles)","TOTAL NACIONAL-PRODUCCIÓN DE DERIVADOS (Miles de barriles)","TOTAL NACIONAL-IMPORTACIÓN DE DERIVADOS (Miles de barriles)","TOTAL NACIONAL-CONSUMO INTERNO DE DERIVADOS (Miles de barriles)","TOTAL EXPORTACIONES DE PETRÓLEO (miles de barriles)","EXPORTACIONES DE PETRÓLEO DE EMPRESAS PÚBLICAS (miles de barriles)","EXPORTACIONES DE PETRÓLEO DE COMPAÑÍAS PRIVADAS (miles de barriles)","EXPORTACIONES DE PETRÓLEO DE MEM (miles de barriles)","TOTAL EXPORTACIONES DE DERIVADOS (miles de barriles)","Exportaciones de Derivados (miles de barriles)","Ingresos de EP PETROECUADOR por Exportaciones (miles de USD)","DIFERENCIA INGRESOS Y EGRESOS (miles de USD)","Precio Promedio Mensual WTI","Precio Promedio Mensual Brent","smoothed"
2014-11-01,16884.76805,16620.17353,14722.22463,2900.97899,2813.84244,16551.48487,4658.64674391695,5930.7395731025,8107.98652273543,14722.22463,13199.0017,0,1523.22293,418.3506,85.248811693984,835632.46449,-354009.131195378,76.04,78.9,9.73331712370121
2014-12-01,17394.03068,17053.28137,13336.48079,3611.5643925059,3527.5504766475,16491.80406,5408.45974580365,5798.1882793155,8552.85044299524,13336.48079,11726.39175,0,1610.08904,373.65253,65.531032561039,544458.82971,-251087.630471811,59.5,62.53,9.7311538447231
2015-01-01,17289.41015,17024.99255,14451.4683,3420.64712,3346.24579,17083.69647,5252.97229557733,4925.6333997075,7888.55619482591,14451.4683,12496.63605,0,1954.83225,203.32283,45.603399436092,528169.65707,-221939.705989558,47.29,47.86,9.72802205288969
2015-02-01,15487.52369,15215.1832,11666.81812,3387.97509,3316.48275,14993.75189,4821.425304886,4706.4279578715,6903.69332061038,11666.81812,9530.96739,0,2135.85073,798.15451,185.253895290376,436030.59389,-189211.511196557,50.76,58.13,9.72478443431619
2015-03-01,17134.43263,16875.99023,13676.87018,4082.2339616392,4000.0169433375,16481.21957,5733.0639758811,4005.52214,7883.74058880857,13676.87018,12083.8079,0,1593.06228,581.44228,117.591185496626,546394.86399,-138274.81559367,47.77,55.93,9.72295804712645
2015-04-01,16436.798,16179.4057,10095.74015,4010.4360683683,3934.6916247863,15659.19229,5425.84867436401,5019.6117168725,7466.99244262119,10095.74015,8915.90786,0,1179.83229,409.7791,102.021174694995,519748.04417,-166136.529509905,54.43,59.5,9.72002874800952
2015-05-01,16838.94781,16543.86246,13199.79812,3436.732675206,3364.297930142,15797.12404,5424.84574032262,4678.7982996995,7689.51861310462,13199.79812,12139.66838,0,1060.12974,594.11055,121.406742365602,722341.30075,-182457.801411165,59.28,64.32,9.71611461707979
2015-06-01,16231.32358,15991.11355,12154.30669,3461.1958911443,3394.0721227841,16227.79482,5380.48768442739,4791.980411902,7499.78954321271,12154.30669,10231.92833,0,1922.37836,592.25468,164.139873704218,584573.36916,-172823.481523672,59.81,61.69,9.71187657704237
2015-07-01,16671.71886,16393.05973,14618.2347,3676.46516,3602.62322,16810.97572,5593.40248341434,4261.3338539425,7781.97497988762,14618.2347,13229.03006,0,1389.20464,600.33965,169.154427883596,575647.32484,-150183.52175765,51.17,56.54,9.70828794447318
2015-08-01,16651.09652,16405.01125,14460.78412,3675.5796697959,3599.0482624791,16828.16861,5578.32104315209,5004.9932840285,7867.12834694829,14460.78412,12544.70005,0,1916.08407,764.67076,132.447336759196,489645.91128,-137730.979047713,42.77,46.72,9.70915359441542
